sno,category,english,hindi,tamil,malayalam,isl_gloss,meaning,has_local_video
102,Time,Time,समय,நேரம்,സമയം,TIME,Clock / duration,yes
103,Time,Now,अब,இப்போது,ഇപ്പോൾ,NOW,Present moment,yes
104,Time,Today,आज,இன்று,ഇന്ന്,TODAY,This day,yes
105,Time,Yesterday,कल,நேற்று,ഇന്നലെ,YESTERDAY,Previous day,yes
106,Time,Tomorrow,कल,நாளை,നാളെ,TOMORROW,Next day,yes
107,Time,Morning,सुबह,காலை,രാവിലെ,MORNING,AM period,yes
108,Time,Afternoon,दोपहर,பிற்பகல்,ഉച്ചയ്ക്ക്,AFTERNOON,Midday period,yes
109,Time,Evening,शाम,மாலை,വൈകുന്നേരം,EVENING,PM period,yes
110,Time,Night,रात,இரவு,രാത്രി,NIGHT,Nighttime,yes
111,Time,Midnight,मध्यरात्रि,நள்ளிரவு,അർദ്ധരാത്രി,MIDNIGHT,12 AM,yes
112,Time,Noon,दोपहर,மதியம்,ഉച്ച,NOON,12 PM,yes
113,Time,Minute,मिनट,நிமிடம்,മിനിറ്റ്,MINUTE,60 seconds,yes
114,Time,Hour,घंटा,மணி,മണിക്കൂർ,HOUR,60 minutes,yes
115,Time,Day,दिन,நாள்,ദിവസം,DAY,24 hours,yes
116,Time,Week,सप्ताह,வாரம்,ആഴ്ച,WEEK,7 days,yes
117,Time,Month,महीना,மாதம்,മാസം,MONTH,Calendar month,yes
118,Time,Year,वर्ष,ஆண்டு,വർഷം,YEAR,12 months,yes
119,Time,Decade,दशक,தசாப்தம்,ദശകം,DECADE,10 years,yes
120,Time,Century,शतक,நூற்றாண்டு,നൂറ്റാണ്ട്,CENTURY,100 years,yes
121,Time,Early,जल्दी,ஆரம்ப,നേരത്തെ,EARLY,Before expected,yes
122,Time,Late,देर,தாமதமாக,വൈകി,LATE,After expected,yes
123,Time,Soon,जल्द ही,விரைவில்,ഉടൻ,SOON,Near future,yes
124,Time,Later,बाद में,பின்னர்,പിന്നീട്,LATER,After now,yes
125,Time,Before,पहले,முன்,മുമ്പ്,BEFORE,Earlier than,yes
126,Time,After,बाद,பிறகு,ശേഷം,AFTER,Later than,yes
127,Time,Past,अतीत,கடந்த,കഴിഞ്ഞത്,PAST,Earlier time,yes
128,Time,Future,भविष्य,எதிர்காலம்,ഭാവി,FUTURE,Later time,yes
129,Time,Present,उपस्थित,தற்போது,ഹാജർ,PRESENT,Current time,yes
130,Time,Always,हमेशा,எப்போதும்,എപ്പോഴും,ALWAYS,Every time,yes
131,Time,Never,कभी नहीं,ஒருபோதும்,ഒരിക്കലും,NEVER,Not ever,yes
132,Feelings,Happy,खुश,மகிழ்ச்சி,സന്തോഷം,HAPPY,Positive emotion,yes
133,Feelings,Sad,दुखद,வருத்தம்,ദുഃഖം,SAD,Sorrow,yes
134,Feelings,Angry,गुस्सा,கோபம்,ദേഷ്യം,ANGRY,Anger,yes
135,Feelings,Excited,उत्साहित,உற்சாகமாக,ആവേശഭരിതനായി,EXCITED,Enthusiasm,yes
136,Feelings,Tired,थका हुआ,சோர்வாக,തളർന്നു,TIRED,Fatigue,yes
137,Feelings,Hungry,भूखा,பசி,വിശക്കുന്നു,HUNGRY,Need food,yes
138,Feelings,Thirsty,प्यासा,தாகம்,ദാഹിക്കുന്നു,THIRSTY,Need drink,yes
139,Feelings,Good,अच्छा,நல்லது,നല്ലത്,GOOD,Positive state,yes
140,Feelings,Bad,खराब,மோசமான,മോശം,BAD,Negative state,yes
141,Feelings,Fine,अच्छा,நன்றாக,നന്നായി,FINE,Okay,yes
142,Feelings,Okay,ठीक है,சரி,ശരി,OKAY,Acceptable,yes
143,Common Verbs,Go,जाना,போ,പോകൂ,GO,Move away,yes
144,Common Verbs,Come,आना,வாருங்கள்,വരൂ,COME,Move toward,yes
145,Common Verbs,Walk,टहलना,நடக்க,നടക്കുക,WALK,Move on foot,yes
146,Common Verbs,Run,दौड़ना,ஓடு,ഓടുക,RUN,Move fast,yes
147,Common Verbs,Sit,बैठना,உட்காருங்கள்,ഇരിക്കുക,SIT,Take a seat,yes
148,Common Verbs,Stand,खड़ा होना,நிற்க,നിൽക്കുക,STAND,Be upright,yes
149,Common Verbs,Eat,खाओ,சாப்பிடு,തിന്നുക,EAT,Consume food,yes
150,Common Verbs,Drink,पीना,குடிக்க,കുടിക്കുക,DRINK,Consume liquid,yes
151,Common Verbs,Sleep,नींद,தூக்கம்,ഉറങ്ങുക,SLEEP,Rest,yes
152,Common Verbs,Wake Up,जागो,எழுந்திரு,ഉണരുക,WAKE-UP,Stop sleeping,yes
153,Common Verbs,Study,अध्ययन,படிப்பு,പഠനം,STUDY,Learn academically,yes
154,Common Verbs,Learn,सीखना,கற்றுக்கொள்,പഠിക്കുക,LEARN,Acquire knowledge,yes
155,Common Verbs,Teach,पढ़ाना,கற்பிக்கின்றன,പഠിപ്പിക്കുക,TEACH,Instruct,yes
156,Common Verbs,Read,पढ़ना,படித்தேன்,വായിച്ചു,READ,Read text,yes
157,Common Verbs,Write,लिखना,எழுது,എഴുതുക,WRITE,Write text,yes
158,Common Verbs,Talk,बात करना,பேச,സംസാരിക്കുക,TALK,Speak,yes
159,Common Verbs,Listen,सुनना,கேளுங்கள்,കേൾക്കുക,LISTEN,Hear attentively,yes
160,Common Verbs,Watch,घड़ी,பார்க்க,വാച്ച്,WATCH,Observe,yes
161,Common Verbs,See,देखना,பார்க்க,കാണുക,SEE,Perceive visually,yes
162,Common Verbs,Look,देखना,பார்,നോക്കൂ,LOOK,Direct gaze,yes
163,Common Verbs,Ask,पूछना,கேட்க,ചോദിക്കുക,ASK,Request information,yes
164,Common Verbs,Answer,उत्तर,பதில்,ഉത്തരം,ANSWER,Respond,yes
165,Common Verbs,Tell,कहना,சொல்லுங்கள்,പറയൂ,TELL,Inform,yes
166,Common Verbs,Explain,व्याख्या करना,விளக்கவும்,വിശദീകരിക്കുക,EXPLAIN,Clarify,yes
167,Common Verbs,Help,मदद,உதவி,സഹായം,HELP,Assist,yes
168,Common Verbs,Call,पुकारना,அழைப்பு,വിളിക്കുക,CALL,Phone / summon,yes
169,Common Verbs,Understand,समझना,புரியும்,മനസ്സിലാക്കുക,UNDERSTAND,Comprehend,yes
170,Common Verbs,Know,जानना,தெரியும்,അറിയാം,KNOW,Have knowledge,yes
171,Common Verbs,Remember,याद करना,நினைவில் கொள்க,ഓർക്കുക,REMEMBER,Recall,yes
172,Common Verbs,Forget,भूल जाओ,மறந்துவிடு,മറക്കുക,FORGET,Fail to recall,yes
173,Common Verbs,Buy,खरीदना,வாங்க,വാങ്ങുക,BUY,Purchase,yes
174,Common Verbs,Sell,बेचना,விற்க,വിൽക്കുക,SELL,Offer for sale,yes
175,Common Verbs,Pay,वेतन,செலுத்து,പണം നൽകുക,PAY,Give money,yes
176,Common Verbs,Open,खुला,திறந்த,തുറക്കുക,OPEN,Make open,yes
177,Common Verbs,Close,बंद करना,நெருக்கமான,അടുത്ത്,CLOSE,Shut,yes
178,Common Verbs,Start,शुरू,தொடங்கு,ആരംഭിക്കുക,START,Begin,yes
179,Common Verbs,Finish,खत्म करना,முடிக்க,പൂർത്തിയാക്കുക,FINISH,Complete,yes
180,Common Verbs,Wait,इंतज़ार,காத்திருக்கவும்,കാത്തിരിക്കുക,WAIT,Stay until,yes
181,Common Verbs,Drive,गाड़ी चलाना,ஓட்டு,ഡ്രൈവ് ചെയ്യുക,DRIVE,Operate vehicle,yes
182,Common Verbs,Ride,सवारी,சவாரி,സവാരി,RIDE,Travel on,yes
183,Common Verbs,Cook,पकाना,சமைக்க,പാചകം ചെയ്യുക,COOK,Prepare food,yes
184,Common Verbs,Clean,साफ,சுத்தமான,ശുദ്ധമായ,CLEAN,Make clean,yes
185,Common Verbs,Wash,धोना,கழுவு,കഴുകുക,WASH,Clean with water,yes
186,Common Verbs,Use,उपयोग,பயன்படுத்த,ഉപയോഗിക്കുക,USE,Utilize,yes
187,Common Verbs,Need,ज़रूरत,தேவை,ആവശ്യം,NEED,Require,yes
188,Common Verbs,Want,चाहना,வேண்டும்,ആഗ്രഹിക്കുന്നു,WANT,Desire,yes
189,Common Verbs,Like,पसंद,போன்ற,പോലെ,LIKE,Enjoy,yes
190,Common Verbs,Love,प्यार,அன்பு,സ്നേഹം,LOVE,Strong affection,yes
191,Common Verbs,Hate,घृणा,வெறுக்கிறேன்,വെറുക്കുന്നു,HATE,Strong dislike,yes
192,Common Verbs,Choose,चुनना,தேர்வு,തിരഞ്ഞെടുക്കുക,CHOOSE,Select,yes
193,Common Verbs,Decide,तय करना,முடிவு செய்யுங்கள்,തീരുമാനിക്കുക,DECIDE,Make decision,yes
194,Common Verbs,Build,निर्माण,கட்ட,പണിയുക,BUILD,Construct,yes
195,Common Verbs,Create,बनाएं,உருவாக்க,സൃഷ്ടിക്കുക,CREATE,Make new,yes
196,Common Verbs,Fix,हल करना,சரி,പരിഹരിക്കുക,FIX,Repair,yes
197,Common Verbs,Move,कदम,நகர்த்த,നീക്കുക,MOVE,Change position,yes
198,Common Verbs,Carry,ढोना,சுமந்து செல்,കൊണ്ടുപോകുക,CARRY,Transport,yes
199,Common Verbs,Send,भेजना,அனுப்பு,അയയ്ക്കുക,SEND,Dispatch,yes
200,Common Verbs,Receive,प्राप्त करें,பெறும்,സ്വീകരിക്കുക,RECEIVE,Get,yes
201,Common Verbs,Search,खोज,தேடல்,തിരയുക,SEARCH,Look for,yes
202,Common Verbs,Find,खोजो,கண்டுபிடிக்க,കണ്ടെത്തുക,FIND,Discover,yes
203,Common Verbs,Lose,खोना,இழக்க,നഷ്ടപ്പെടുക,LOSE,Misplace,yes
204,Descriptions - Size,Big,बड़ा,பெரிய,വലിയ,BIG,Large size,yes
205,Descriptions - Size,Small,छोटा,சிறிய,ചെറിയ,SMALL,Little size,yes
206,Descriptions - Size,Large,बड़ा,பெரிய,വലിയ,LARGE,Big,yes
207,Descriptions - Size,Tiny,छोटा,சிறிய,ചെറിയ,TINY,Very small,yes
208,Descriptions - Size,Huge,विशाल,மிகப்பெரிய,വലിയ,HUGE,Very big,yes
209,Descriptions - Size,Giant,बहुत बड़ा,மாபெரும்,ഭീമൻ,GIANT,Extremely big,yes
210,Descriptions - Size,Long,लंबा,நீளமானது,നീണ്ട,LONG,Extended length,yes
211,Descriptions - Size,Short,छोटा,குறுகிய,ചെറുത്,SHORT,Brief length,yes
212,Descriptions - Size,Tall,लंबा,உயரமான,ഉയരമുള്ള,TALL,High height,yes
213,Descriptions - Size,Wide,चौड़ा,பரந்த,വിശാലമായ,WIDE,Broad,yes
214,Descriptions - Size,Narrow,सँकरा,குறுகிய,ഇടുങ്ങിയ,NARROW,Not wide,yes
215,Descriptions - Size,Thick,मोटा,தடித்த,കട്ടിയുള്ള,THICK,Dense,yes
216,Descriptions - Size,Thin,पतला,மெல்லிய,നേർത്ത,THIN,Slim,yes
217,Descriptions - Size,Deep,गहरा,ஆழமான,ആഴമുള്ള,DEEP,Far down,yes
218,Descriptions - Size,Shallow,उथला,ஆழமற்ற,ആഴം കുറഞ്ഞ,SHALLOW,Not deep,yes
219,Descriptions - Size,Heavy,भारी,கனமான,കനത്ത,HEAVY,High weight,yes
220,Descriptions - Size,Light,रोशनी,ஒளி,വെളിച്ചം,LIGHT,Low weight,yes
221,Descriptions - Quality,Excellent,उत्कृष्ट,சிறந்த,മികച്ചത്,EXCELLENT,Very good,yes
222,Descriptions - Quality,Perfect,उत्तम,சரியான,തികഞ്ഞ,PERFECT,Flawless,yes
223,Descriptions - Quality,Amazing,अद्भुत,அற்புதமான,അത്ഭുതകരമായ,AMAZING,Surprising good,no
224,Descriptions - Quality,Wonderful,आश्चर्यजनक,அற்புதமான,അത്ഭുതകരമായ,WONDERFUL,Delightful,no
225,Descriptions - Quality,Nice,अच्छा,நல்ல,കൊള്ളാം,NICE,Pleasant,yes
226,Descriptions - Quality,Terrible,भयानक,பயங்கரமான,ഭയങ്കരമായ,TERRIBLE,Very bad,no
227,Descriptions - Quality,Easy,आसान,எளிதாக,എളുപ്പമാണ്,EASY,Not difficult,yes
228,Descriptions - Quality,Difficult,कठिन,கடினமான,ബുദ്ധിമുട്ടുള്ള,DIFFICULT,Hard,yes
229,Descriptions - Quality,Simple,सरल,எளிய,ലളിതമായ,SIMPLE,Basic,yes
230,Descriptions - Quality,Complex,जटिल,சிக்கலான,സങ്കീർണ്ണമായ,COMPLEX,Complicated,yes
231,Descriptions - Quality,Fast,तेज़,வேகமாக,വേഗം,FAST,Quick,yes
232,Descriptions - Quality,Slow,धीमा,மெதுவாக,പതുക്കെ,SLOW,Not fast,yes
233,Descriptions - Quality,Beautiful,सुंदर,அழகான,മനോഹരം,BEAUTIFUL,Attractive,yes
234,Descriptions - Quality,Ugly,कुरूप,அசிங்கமான,വൃത്തികെട്ട,UGLY,Unattractive,yes
235,Descriptions - Quality,Dirty,गंदा,அழுக்கு,വൃത്തികെട്ട,DIRTY,Not clean,yes
236,Descriptions - Quality,Young,युवा,இளம்,ചെറുപ്പക്കാർ,YOUNG,Low age,yes
237,Descriptions - Quality,Old,पुराना,பழைய,പഴയത്,OLD,High age,yes
238,Descriptions - Quality,Strong,मज़बूत,வலுவான,ശക്തമായ,STRONG,Powerful,yes
239,Descriptions - Quality,Weak,कमज़ोर,பலவீனமான,ദുർബലമായ,WEAK,Not strong,yes
240,Descriptions - Quality,Broken,टूटा हुआ,உடைந்தது,തകർന്നു,BROKEN,Not working,yes
241,Descriptions - Quality,Lost,खो गया,இழந்தது,നഷ്ടപ്പെട്ടു,LOST,Missing,yes
242,Colors,Red,लाल,சிவப்பு,ചുവപ്പ്,RED,Color,yes
243,Colors,Blue,नीला,நீலம்,നീല,BLUE,Color,yes
244,Colors,Green,हरा,பச்சை,പച്ച,GREEN,Color,yes
245,Colors,Yellow,पीला,மஞ்சள்,മഞ്ഞ,YELLOW,Color,yes
246,Colors,Black,काला,கருப்பு,കറുപ്പ്,BLACK,Color,yes
247,Colors,White,सफ़ेद,வெள்ளை,വെള്ള,WHITE,Color,yes
248,Colors,Brown,भूरा,பழுப்பு,തവിട്ട്,BROWN,Color,yes
249,Colors,Orange,नारंगी,ஆரஞ்சு,ഓറഞ്ച്,ORANGE,Color,yes
250,Colors,Pink,गुलाबी,இளஞ்சிவப்பு,പിങ്ക്,PINK,Color,yes
251,Colors,Purple,बैंगनी,ஊதா,ധൂമ്രനൂൽ,PURPLE,Color,yes
252,Colors,Gray,स्लेटी,சாம்பல்,ചാരനിറം,GRAY,Color,yes
253,Colors,Silver,चाँदी,வெள்ளி,വെള്ളി,SILVER,Color,yes
254,Colors,Gold,सोना,தங்கம்,സ്വർണ്ണം,GOLD,Color,yes
255,Colors,Beige,बेज,பழுப்பு,ബീജ്,BEIGE,Color,no
256,Colors,Maroon,लाल रंग,மெரூன்,മെറൂൺ,MAROON,Color,no
257,Home,Home,घर,வீடு,വീട്,HOME,Residence,yes
258,Home,House,घर,வீடு,വീട്,HOUSE,Building,yes
259,Home,Room,कमरा,அறை,മുറി,ROOM,Interior space,yes
260,Home,Kitchen,रसोईघर,சமையலறை,അടുക്കള,KITCHEN,Cooking area,yes
261,Home,Bedroom,सोने का कमरा,படுக்கையறை,കിടപ്പുമുറി,BEDROOM,Sleeping room,yes
262,Home,Bathroom,स्नानघर,குளியலறை,കുളിമുറി,BATHROOM,Washroom,yes
263,Home,Bed,बिस्तर,படுக்கை,കിടക്ക,BED,Sleep furniture,yes
264,Home,Door,दरवाजा,கதவு,വാതിൽ,DOOR,Entry,yes
265,Home,Key,चाबी,முக்கிய,താക്കോൽ,KEY,Lock opener,yes
266,Home,Table,मेज़,அட்டவணை,മേശ,TABLE,Furniture,yes
267,Home,Chair,कुर्सी,நாற்காலி,കസേര,CHAIR,Seat,yes
268,Food & Drinks,Water,पानी,தண்ணீர்,വെള്ളം,WATER,Drink,yes
269,Food & Drinks,Coffee,कॉफी,காபி,കോഫി,COFFEE,Hot drink,yes
270,Food & Drinks,Tea,चाय,தேநீர்,ചായ,TEA,Hot drink,yes
271,Food & Drinks,Milk,दूध,பால்,പാൽ,MILK,Dairy drink,yes
272,Food & Drinks,Juice,रस,சாறு,ജ്യൂസ്,JUICE,Fruit drink,yes
